ticker,company_name,sector_raw
GHNL,Ghandhara Nissan Limited,AUTOMOBILE ASSEMBLER
GIL,Good Luck Industries Ltd.,FOOD & PERSONAL CARE PRODUCTS
GLAT,Glamour Textile Mills Limited,TEXTILE SPINNING
GLAXO,GlaxoSmithKline Pakistan Limited,PHARMACEUTICALS
GLOT,Globe Textile Mills Limited,TEXTILE SPINNING
GLPL,Gillette Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS
GOC,GOC (Pak) Limited.,MISCELLANEOUS
GOEM,Globe Textile Mills (OE) Limited,TEXTILE SPINNING
GRR,Globe Residency REIT,REAL ESTATE INVESTMENT TRUST
GRYL,Grays Leasing Limited,LEASING COMPANIES
GSKCH,GlaxoSmithKline Consumer Healthcare,PHARMACEUTICALS
GSPM,Gulshan Spinning Mills Limited,TEXTILE SPINNING
GTECH,G3 Technologies Limited,
GTECHBR,G3 Technologies Ltd.CLASS B,
GTYR,Ghandhara Tyre & Rubber Company Limited,AUTOMOBILE PARTS & ACCESSORIES
GUSM,Gulistan Spinning Mills Limited,TEXTILE SPINNING
GUTM,Gulistan Textile Mills Limited,TEXTILE SPINNING
GVGL,Ghani Value Glass Limited,GLASS & CERAMICS
GWLC,Gharibwal Cement Limited,CEMENT
HABSM,Habib Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
HACC,Hashimi Can Company Limited,MISCELLANEOUS
HADC,Haydari Construction Company Limited,MISCELLANEOUS
HAEL,Hala Enterprises Limited,TEXTILE COMPOSITE
HAFL,Hafiz Limited,TEXTILE COMPOSITE
HAJT,Hajra Textile Mills Limited,TEXTILE SPINNING
HAL,Habib-ADM Limited,SUGAR & ALLIED INDUSTRIES
HALEON,Haleon Pakistan Limited,PHARMACEUTICALS
HASCOL,Hascol Petroleum Limited,OIL & GAS MARKETING COMPANIES
HASCOLR1,Hascol Petre(R),OIL & GAS MARKETING COMPANIES
HATM,Hamid Textile Mills Limited,TEXTILE COMPOSITE
HBL,Habib Bank Limited,COMMERCIAL BANKS
HCAR,Honda Atlas Cars (Pakistan) Limited,AUTOMOBILE ASSEMBLER
HCL,Hallmark Company Limited,TECHNOLOGY & COMMUNICATION
HICL,Habib Insurance Company Limited,INSURANCE
HINO,Hinopak Motors Limited,AUTOMOBILE ASSEMBLER
HINOON,Highnoon Laboratories Limited,PHARMACEUTICALS
HIRAT,Hira Textile Mills Limited,TEXTILE SPINNING
HKKT,Hakkim Textile Mills Limited,TEXTILE WEAVING
HMB,Habib Metropolitan Bank Limited,COMMERCIAL BANKS
HMICL,Hallmark Insurance Company Limited,INSURANCE
HMIM,Haji Mohammad Ismail Mills Limited,TEXTILE SPINNING
HMM,Habib Metro Mod,
HPL,Hoechst Pakistan Limited,PHARMACEUTICALS
HRPL,Habib Rice Product Limited.,SUGAR & ALLIED INDUSTRIES
HSM,Husein Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
HSMCPS,Husein Sugar(Pref),SUGAR & ALLIED INDUSTRIES
HSMPSR,Husein Sugar(R),
HSMR1,,SUGAR & ALLIED INDUSTRIES
HSPI,Huffaz Seamless Pipe Industries Limited,ENGINEERING
HTL,Hi-Tech Lubricants Limited,OIL & GAS MARKETING COMPANIES
HUBC,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION
HUMNL,Hum Network Limited,TECHNOLOGY & COMMUNICATION
HUSI,Husein Industries Limited,PROPERTY
HWQS,Haseeb Waqas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
IBFL,Ibrahim Fibres Limited,SYNTHETIC & RAYON
IBLHL,IBL HealthCare Limited,PHARMACEUTICALS
ICCI,ICC Industries Limited,TEXTILE WEAVING
ICCT,ICC Textiles Limited,TEXTILE WEAVING
ICI,ICI Pakistan Limited,CHEMICAL
ICIBL,Invest Capital Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
ICL,Ittehad Chemicals Limted,CHEMICAL
ICLR1,,CHEMICAL
IDRT,Idrees Textile Mills Limited,TEXTILE SPINNING
IDSM,Ideal Spinning Mills Limited,TEXTILE SPINNING
IDYM,Indus Dyeing & Manufacturing Co. Limited,TEXTILE SPINNING
IFSL,Invest & Finance Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.
IGIBL,IGI Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
IGIHL,IGI Holdings Limited,INSURANCE
IGIIL,IGI Insurance Limited,INSURANCE
IGIL,IGI Life Insurance Limited,INSURANCE
ILP,Interloop Limited,TEXTILE COMPOSITE
ILTM,Island Textile Mills Limited,
IMAGE,Image Pakistan Limited,APPAREL
IMAGER1,Image Pak Ltd(R),
