ticker,yahoo_ticker,total_debt,total_assets,accounts_receivable,non_compliant_investments,cash,total_revenue,interest_income,net_income,market_cap,current_price,shares_outstanding,long_business_summary,fetched_at
BGL,BGL.KA,,,,0.0,,,0.0,,8294271488.0,12.99,638512057.0,"BGL.KA,0P0000BV69,1904916",2026-06-01T09:01:36.650326+00:00
BHAT,BHAT.KA,,,,0.0,,,0.0,,3193012224.0,1050.0,3040964.0,"BHAT.KA,0P0000AGQV,0",2026-06-01T09:01:36.650326+00:00
BIFO,BIFO.KA,,,,0.0,,,0.0,,5137346560.0,110.76,46382688.0,"BIFO.KA,0P0000BELB,31238",2026-06-01T09:01:36.650326+00:00
BIIC,BIIC.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BILF,BILF.KA,,,,0.0,,,0.0,,33558000.0,2.38,14100000.0,Zuma Resources Limited,2026-06-01T09:01:36.650326+00:00
BIPL,BIPL.KA,25519398000.0,770085975000.0,,0.0,72890723000.0,44098959000.0,0.0,6004675000.0,24568866816.0,22.16,1108703299.0,BankIslami Pakistan Limited,2026-06-01T09:01:36.650326+00:00
BIPLS,BIPLS.KA,,,,0.0,,,0.0,,,,100000000.0,BIPL Securities Limited,2026-06-01T09:01:36.650326+00:00
BLUEX,BLUEX.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BML,BML.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BNL,BNL.KA,,,,0.0,,,0.0,,8684684288.0,13.0,668052700.0,"BNL.KA,0P0000AZJU,57681",2026-06-01T09:01:36.650326+00:00
BNWM,BNWM.KA,,,,0.0,,,0.0,,251440320.0,26.45,9506250.0,"BNWM.KA,0P0000AW5N,4316",2026-06-01T09:01:36.650326+00:00
BOK,BOK.KA,18006132000.0,453299614000.0,,0.0,29858937000.0,22976320000.0,52234407000.0,5815763000.0,14879477760.0,12.85,1157935989.0,The Bank of Khyber,2026-06-01T09:01:36.650326+00:00
BOP,BOP.KA,94852930000.0,2950739786000.0,,0.0,182602270000.0,93878479000.0,266388664000.0,15393957000.0,17175739392.0,5.25,3271569319.0,The Bank of Punjab,2026-06-01T09:01:36.650326+00:00
BPBL,BPBL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BPL,BPL.KA,,,,0.0,,,0.0,,532312032.0,23.67,22488890.0,"BPL.KA,0P0000C32B,7475",2026-06-01T09:01:36.650326+00:00
BROT,BROT.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BRR,BRR.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BRRG,BRRG.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
BTL,BTL.KA,,,,0.0,,,0.0,,1683254528.0,261.7,6432000.0,"BTL.KA,0P0000BTYL,0",2026-06-01T09:01:36.650326+00:00
BUXL,BUXL.KA,,,,0.0,,,0.0,,247291200.0,171.73,1440000.0,Buxly Paints Limited,2026-06-01T09:01:36.650326+00:00
BWCL,BWCL.KA,29793869000.0,275490698000.0,1308246000.0,0.0,1187558000.0,107758553000.0,32212000.0,23864368000.0,140202885120.0,235.14,596252783.0,Bestway Cement Limited,2026-06-01T09:01:36.650326+00:00
BWHL,BWHL.KA,,,,0.0,,,0.0,,1596776576.0,119.75,13334250.0,"BWHL.KA,0P0000BFG0,7293",2026-06-01T09:01:36.650326+00:00
BYCO,BYCO.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
CASH,CASH.KA,,,,0.0,,,0.0,,324266400.0,30.18,10744413.0,Arm Green Industries Ltd,2026-06-01T09:01:36.650326+00:00
CCM,CCM.KA,,,,0.0,,,0.0,,2144554368.0,94.64,22660126.0,"CCM.KA,0P0000AWWV,10",2026-06-01T09:01:36.650326+00:00
CECL,CECL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
CENI,CENI.KA,,,,0.0,,,0.0,,1383162112.0,25.0,55326484.0,"CENI.KA,0P0000CC0I,16",2026-06-01T09:01:36.650326+00:00
CEPB,CEPB.KA,3741044000.0,29536931000.0,5086269000.0,0.0,401725000.0,42015480000.0,57069000.0,523893000.0,12240192512.0,30.47,401712926.0,Century Paper & Board Mills Limited,2026-06-01T09:01:36.650326+00:00
CFL,CFL.KA,,,,0.0,,,0.0,,732654656.0,59.0,12417876.0,"CFL.KA,0P0000BOOR,1",2026-06-01T09:01:36.650326+00:00
CHAS,CHAS.KA,,,,0.0,,,0.0,,2052912640.0,71.55,28692000.0,"CHAS.KA,0P0000ARIN,50",2026-06-01T09:01:36.650326+00:00
CHBL,CHBL.KA,,,,0.0,,,0.0,,330049984.0,2.87,115000000.0,"CHBL.KA,0P0000B0ES,465793",2026-06-01T09:01:36.650326+00:00
